Brand,Authentic Product,Original Price (INR),Counterfeit Price (INR),Annual Sales (Original) - Units,Annual Sales (Counterfeit) - Units
Louis Vuitton,Monogram Handbag,123000,12300,15000,75000
Gucci,GG Canvas Tote Bag,98400,9840,18000,90000
Chanel,Classic Flap Bag,410000,41000,10000,50000
Rolex,Submariner Watch,820000,41000,8000,60000
Hermès,Birkin Bag,820000,8200,2000,15000
Prada,Saffiano Leather Tote,205000,20500,12000,70000
Cartier,Love Bracelet,516000,51600,7000,40000
Burberry,Trench Coat,164000,16400,14000,80000
Ray-Ban,Aviator Sunglasses,12300,1230,50000,300000
Givenchy,Men's Hoodie,90200,7200,9000,45000
Christian Louboutin,Spiked Loafers,147600,14760,6000,30000
Levi's,501 Jeans,4920,492,100000,500000
Balenciaga,GG Canvas Tote Bag,680669,48619,11478,68868
Ray-Ban,Saffiano Leather Tote,816311,81631,10764,32292
Bvlgari,Saffiano Leather Tote,665243,47517,11428,57140
Hermès,Serpenti Watch,511618,63952,12275,49100
Dior,Triple S Sneakers,196221,16351,10261,71827
Dior,Spiked Loafers,63292,7911,12845,89915
Louis Vuitton,Medusa Necklace,460574,57571,13291,93037
Burberry,Spiked Loafers,744402,67672,11409,79863
Givenchy,Medusa Necklace,886521,80592,1888,11328
Burberry,Men's Hoodie,806460,67205,19351,96755
Hermès,501 Jeans,579226,41373,1087,5435
Balenciaga,Trench Coat,667800,55650,4659,27954
Dior,501 Jeans,667446,55620,19746,138222
Gucci,GG Canvas Tote Bag,137641,9831,17386,69544
Gucci,Triple S Sneakers,789467,56390,3915,27405
Hermès,Prestige Face Serum,47021,5877,16182,64728
Prada,High-End Skincare Set,14287,2857,25151,100604
Dior,Designer Lipstick,33150,3315,28741,114964
Chanel,Exclusive Eyeshadow Palette,34746,6949,32373,129492
Chanel,Premium Foundation,14659,1832,32841,131364
Gucci,Prestige Face Serum,40887,13629,35799,71598
Versace,Exclusive Eyeshadow Palette,22474,2247,25314,101256
Dior,Designer Lipstick,36241,4026,24997,99988
Hermès,Designer Lipstick,5641,626,20345,61035
Prada,Designer Lipstick,24126,3446,36645,219870
Manolo Blahnik,Designer Sneakers,91550,13078,12636,37908
Christian Louboutin,Luxury Heels,107327,13415,2045,6135
Christian Louboutin,Exclusive Loafers,41886,3807,3487,10461
Balenciaga,Designer Sneakers,106341,11815,9399,46995
Balenciaga,Designer Sneakers,38295,7659,10770,43080
Balenciaga,Luxury Heels,92759,15459,6642,26568
Christian Louboutin,Designer Sneakers,109437,12159,8590,51540
Jimmy Choo,Exclusive Loafers,67855,7539,14814,59256
Prada,Designer Sneakers,96166,19233,11930,59650
Balenciaga,Exclusive Loafers,58430,5843,2667,13335
YSL Beauty,Designer Lipstick,32031,5338,51063,204252
Guerlain,Prestige Face Serum,25034,3129,7319,36595
Dior Beauty,Premium Foundation,6481,925,20176,121056
Lancôme,Luxury Perfume,13664,3416,44596,133788
Lancôme,High-End Skincare Set,40725,4072,45086,225430
YSL Beauty,Exclusive Eyeshadow Palette,11746,2349,6295,25180
MAC,Luxury Mascara,43795,4379,49640,248200
Estée Lauder,Exclusive Eyeshadow Palette,17950,4487,10140,30420
Lancôme,Luxury Mascara,21454,7151,52805,105610
Kiehl's,Luxury Perfume,49301,7043,22031,88124
Shiseido,Designer Lipstick,35165,3907,6900,13800
Shiseido,Premium Foundation,22641,5660,30213,120852
Lancôme,Signature Nail Polish,48544,12136,35396,176980
Bobbi Brown,Designer Lipstick,25507,5101,24722,123610
Tom Ford Beauty,Luxury Perfume,23243,4648,42317,169268
Wilson,Sports Jacket,21662,4332,38645,193225
Yonex,Hiking Boots,14611,4870,26275,105100
Mizuno,Sports Jacket,23828,2978,58659,175977
Skechers,Hiking Boots,23592,3370,47288,236440
ASICS,Athletic T-Shirt,9224,2306,14367,57468
Reebok,Hiking Boots,9365,3121,64859,194577
Nike,Basketball Shoes,19455,6485,16973,67892
Mizuno,Sports Jacket,12938,1848,19020,95100
Adidas,Sports Jacket,23607,7869,24053,48106
Everlast,Athletic T-Shirt,13744,1718,41263,206315
New Balance,Athletic T-Shirt,7906,1129,40710,122130
Mizuno,Hiking Boots,7837,1567,35764,143056
Mizuno,Compression Leggings,4046,578,32407,97221
Columbia,Training Sneakers,3368,673,25524,76572
Columbia,Hiking Boots,18184,2597,18954,94770
Dior Beauty,Basketball Shoes,503723,100744,75110,525770
MAC,Training Sneakers,764361,69487,75589,453534
Montblanc,High-End Skincare Set,416569,83313,8881,35524
Charlotte Tilbury,Luxury Handbag,991563,70825,2425,4850
Burberry,High-End Skincare Set,170562,28427,81675,163350
Puma,High-End Necklace,291936,24328,66866,200598
Tag Heuer,Hiking Boots,726314,90789,97618,585708
Shiseido,Premium Foundation,157961,31592,95447,668129
Skechers,Hiking Boots,440912,40082,33352,200112
Bang & Olufsen,Luxury Earbuds,643783,42918,48924,293544
Hublot,Prestige Face Serum,568036,63115,47983,143949
Bang & Olufsen,Exclusive Eyeshadow Palette,782928,260976,45079,360632
Puma,Basketball Shoes,792325,132054,19070,95350
Bvlgari,Training Sneakers,418426,83685,95445,381780
MAC,Exclusive Eyeshadow Palette,475762,52862,22796,159572
Hermès,Luxury Perfume,657686,50591,47899,95798
MAC,Luxury Earbuds,541042,108208,53755,430040
Prada,Training Sneakers,174122,12437,85758,343032
Hermès,Luxury Handbag,454139,64877,92899,278697
Shiseido,Signature Nail Polish,195007,15000,65345,130690
Dior Beauty,Luxury Mascara,967309,107478,73412,440472
MAC,Running Shoes,342782,26367,54027,270135
MAC,Running Shoes,18290,2612,69241,276964
Charlotte Tilbury,Signature Fragrance,40981,2927,55747,390229
Dior Beauty,Football Boots,222866,14857,15346,30692
Prada,Luxury Handbag,645390,43026,76259,610072
Givenchy,High-End Skincare Set,574555,47879,16982,135856
Patek Philippe,Training Sneakers,45982,4180,24514,147084
Dolce & Gabbana,Training Sneakers,864859,216214,78955,552685
ASICS,Luxury Perfume,266360,20489,23091,92364
Omega,High-End Skincare Set,275973,34496,13491,67455
